,BITW,CPER,CRYPTO_EQ,DAX,DBC,DIA,EUMV,EWD,EWG,EWI,EWL,EWN,EWP,EWQ,EWU,EZU,FEZ,GLD,ICLN,IEUS,IJR,MDY,MTUM,ONEQ,QQQ,QUAL,RSP,SPY,TAN,UNG,USMV,USO,VGK,VNQ,VTV,VUG
2008-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,4.637544131325271e-12,4.637544131325271e-12,4.637544131325271e-12,4.637544131325271e-12,4.637544131325271e-12,0.19999999977066696,4.637544131325271e-12,1.1537246585675491e-10,0.19999999999845688,5.228632689207604e-12,1.1263098419072476e-11,1.3246871717726314e-11,0.19999999996260137,9.027600155213917e-12,0.19999999997163023,1.018153877576757e-11,1.0956385170532414e-11,0.1999999999937358,4.637544131325271e-12,4.637544131325271e-12,4.832433574350979e-12,5.6389817238725145e-12,4.637544131325271e-12,5.625821197270927e-12,7.1005545662230994e-12,4.637544131325271e-12,5.297162924963623e-12,5.430039227766913e-12,4.637544131325271e-12,4.637544131325271e-12,4.637544131325271e-12,4.637544131325271e-12,1.2750939992319306e-11,5.644082823335621e-12,5.260149797290641e-12,5.126595041896867e-12
2009-11-30,3.1080726188600803e-12,3.1080726188600803e-12,3.1080726188600803e-12,3.1080726188600803e-12,3.1080726188600803e-12,0.1999999999722395,3.1080726188600803e-12,1.954086881453157e-11,0.19999999993312895,3.549963190997617e-12,2.6003565834052526e-11,5.054482996880489e-11,0.19999999996082796,5.8787987233014796e-12,0.19999999986011668,1.631102915477104e-11,6.555908379647586e-12,0.1999999999911038,3.1080726188600803e-12,3.1080726188600803e-12,3.3387479185182952e-12,3.836478274931747e-12,3.1080726188600803e-12,3.8729981665148555e-12,4.726250778876172e-12,3.1080726188600803e-12,3.755531140306973e-12,4.443532117798437e-12,3.1080726188600803e-12,3.1080726188600803e-12,3.1080726188600803e-12,3.1080726188600803e-12,3.633656257150885e-11,4.011296824876397e-12,5.081161050801739e-12,4.128261822738098e-11
2009-12-31,1.062830137836792e-12,1.062830137836792e-12,1.062830137836792e-12,1.062830137836792e-12,1.062830137836792e-12,0.19999999744528746,1.062830137836792e-12,6.238948701478092e-12,0.19999999951046266,1.287781806134505e-12,2.0110107853802047e-11,1.687005837081942e-11,2.9550734749186055e-09,3.1365392612437e-12,0.1999999999912339,6.537853080553595e-12,3.326849184411422e-12,0.19999999999663964,1.062830137836792e-12,1.062830137836792e-12,1.4564284662937195e-12,1.7403744259835918e-12,1.062830137836792e-12,1.7783621285148372e-12,0.19999999999436713,1.062830137836792e-12,1.602715590139068e-12,1.8562822464939178e-12,1.062830137836792e-12,1.062830137836792e-12,1.062830137836792e-12,1.062830137836792e-12,6.3659179337420094e-12,1.977037712575173e-12,2.17235028204961e-12,1.5598398640490377e-11
2010-01-31,1.0644682378914851e-11,1.0644682378914851e-11,1.0644682378914851e-11,1.0644682378914851e-11,1.0644682378914851e-11,1.4408111862302258e-10,1.0644682378914851e-11,4.552855762445962e-09,0.19999999989636597,1.0241830981995991e-11,4.113071158174234e-10,0.19999999935133675,0.19999999990286954,2.5475559459740894e-11,6.704749924889616e-12,2.833692540076305e-11,3.198922997158471e-11,0.1999999999932374,1.0644682378914851e-11,1.0644682378914851e-11,1.45168993986219e-11,4.287782206468815e-12,1.0644682378914851e-11,1.6973376641028993e-11,0.19999999538876936,1.0644682378914851e-11,1.6227971453738723e-11,1.0187140213725974e-11,1.0644682378914851e-11,1.0644682378914851e-11,1.0644682378914851e-11,1.0644682378914851e-11,1.1318829449530782e-11,1.9262294257910736e-11,8.353425279470628e-12,6.275508458921886e-12
2010-02-28,8.41992120278788e-12,8.41992120278788e-12,8.41992120278788e-12,8.41992120278788e-12,8.41992120278788e-12,0.19999999998127402,8.41992120278788e-12,0.19999999999110257,1.1457618471351286e-12,7.456628312372586e-12,2.3360287716635215e-11,5.573794581263468e-11,1.1817053149389192e-12,1.4986955227912313e-11,9.68688946407034e-12,1.458163993688976e-11,1.5521503244653924e-11,0.1999999999924875,8.41992120278788e-12,8.41992120278788e-12,1.2074698447971593e-11,0.1999999998376766,8.41992120278788e-12,1.2442403963260462e-11,3.670797723806278e-11,8.41992120278788e-12,0.19999999981526326,1.4432580852333828e-11,8.41992120278788e-12,8.41992120278788e-12,8.41992120278788e-12,8.41992120278788e-12,1.2876306732741585e-11,1.5841021013674128e-11,8.12541522742667e-12,8.157657365771235e-12
2010-03-31,2.8784312687450902e-12,2.8784312687450902e-12,2.8784312687450902e-12,2.8784312687450902e-12,3.728898403098568e-12,0.199999999994422,2.8784312687450902e-12,0.19999999999260834,1.2488380271842018e-11,2.9591059359851164e-12,5.261997096921962e-12,5.5090695651275346e-12,1.8574017010315454e-12,4.314980987801399e-12,1.89446526023048e-11,5.136544576700081e-12,4.412488539550813e-12,0.1999999999468405,2.8784312687450902e-12,2.8784312687450902e-12,4.272425044593588e-12,5.336905151813294e-12,2.8784312687450902e-12,0.1999999999262869,2.1361692461099146e-11,2.8784312687450902e-12,2.8522533143191986e-11,6.035060038923276e-12,2.8784312687450902e-12,2.8784312687450902e-12,2.8784312687450902e-12,2.8784312687450902e-12,9.35011100460762e-12,4.780616285029331e-12,3.8265607102303644e-12,0.19999999995432335
2010-04-30,4.926161023045932e-13,4.926161023045932e-13,4.926161023045932e-13,4.926161023045932e-13,7.830559502069771e-13,0.19999999999749732,4.926161023045932e-13,0.1999999999996166,1.0451938538228385e-12,4.381327434862255e-13,9.156759894252852e-13,9.220245466255102e-13,3.589025594473437e-14,7.625629491084361e-13,0.1999999999909572,7.87771609934967e-13,7.865208569944435e-13,0.19999999999858853,4.926161023045932e-13,4.926161023045932e-13,0.19999999999411677,9.124350667562844e-13,4.926161023045932e-13,3.07721928555022e-13,5.316891755484478e-14,4.926161023045932e-13,9.391755612489722e-13,9.220107706398321e-13,4.926161023045932e-13,4.926161023045932e-13,4.926161023045932e-13,4.926161023045932e-13,8.934085944207452e-13,9.456540328730378e-13,8.705001577972992e-13,4.987579440613053e-13
2010-05-31,2.3126644128228005e-12,2.3126644128228005e-12,2.3126644128228005e-12,2.3126644128228005e-12,3.462614539927352e-12,1.8317559750020994e-10,2.3126644128228005e-12,0.19999999998857856,2.1028452562469438e-13,1.355729263088184e-12,6.250391357634443e-12,8.84949321351297e-12,3.4535969704347873e-14,1.0254753586370665e-13,1.2164250217962041e-12,7.096780292432347e-14,1.2590257797164948e-13,0.1999999999989288,2.3126644128228005e-12,2.3126644128228005e-12,7.900041012984715e-12,7.940944300464e-12,2.3126644128228005e-12,0.1999999998700492,0.19999999999734877,2.3126644128228005e-12,5.353062149872539e-12,2.9319779380442212e-12,2.3126644128228005e-12,2.3126644128228005e-12,2.3126644128228005e-12,3.8246405187413186e-14,3.269693474713223e-12,6.138600848514625e-11,2.7951687350628434e-12,0.19999999982087313
2010-06-30,1.9993815639534355e-12,1.9993815639534355e-12,1.9993815639534355e-12,1.9993815639534355e-12,2.4443146286649855e-13,3.3618222142695505e-12,1.9993815639534355e-12,0.1999999999390253,9.477118604360138e-13,1.1988404605516312e-12,5.012705969389985e-12,3.15107680803864e-12,2.9567278213156665e-12,2.3783229018226323e-12,8.52379530280027e-11,2.551233839420052e-12,2.577492085588139e-12,0.1999999999959156,1.9993815639534355e-12,1.9993815639534355e-12,3.2151332871224184e-12,2.7044986817666275e-12,1.9993815639534355e-12,0.1999999998777826,0.1999999999907464,1.9993815639534355e-12,3.181224488372109e-12,2.1073685989390077e-12,1.9993815639534355e-12,1.9993815639534355e-12,1.9993815639534355e-12,7.364935054891267e-13,2.635126359898496e-12,7.780181115545448e-11,2.0159758339139863e-12,0.19999999996852172
2010-07-31,6.950328870388184e-13,6.950328870388184e-13,6.950328870388184e-13,6.950328870388184e-13,6.535271859131405e-13,1.1704189334570152e-12,6.950328870388184e-13,1.5162416974785138e-12,2.015649580748622e-12,6.587232401970681e-13,1.012740550805863e-12,0.19999999999706977,1.2143630175848527e-12,8.652480551340958e-13,0.1999999999724538,8.909933318838572e-13,8.95260322945116e-13,3.308315647174966e-12,6.950328870388184e-13,6.950328870388184e-13,8.691609106998876e-13,0.19999999999698007,6.950328870388184e-13,1.1811764387388877e-12,0.19999999999857862,6.950328870388184e-13,5.324962926112744e-12,2.0473508785542277e-12,6.950328870388184e-13,6.950328870388184e-13,6.950328870388184e-13,5.847283317255573e-13,1.4102595332804554e-12,1.5540338465257e-12,9.153668358874715e-13,0.19999999999848897
2010-08-31,8.009592056149977e-12,8.009592056149977e-12,8.009592056149977e-12,8.009592056149977e-12,1.2321501890248563e-11,1.8531353255713838e-11,8.009592056149977e-12,0.19999999989274053,2.9852027095424337e-12,5.709333593208012e-12,3.3146498634791596e-11,1.6499123574783595e-11,0.1999999998822214,1.2602141071401504e-11,0.19999999998530732,1.3967935798169645e-11,1.3916391995632524e-11,0.19999999999409185,8.009592056149977e-12,8.009592056149977e-12,1.2189737493606688e-11,4.411650661360198e-12,8.009592056149977e-12,1.6658076291513335e-11,1.6064218544899405e-11,8.009592056149977e-12,2.2253546400118677e-11,2.2642196000264362e-11,8.009592056149977e-12,8.009592056149977e-12,8.009592056149977e-12,0.0,1.5587779152017895e-11,0.199999999897625,8.681076946369859e-12,3.730988960202556e-12
2010-09-30,5.5784409033850055e-12,5.5784409033850055e-12,5.5784409033850055e-12,5.5784409033850055e-12,7.335384132547402e-12,1.4486412472668623e-11,5.5784409033850055e-12,0.19999999997253773,1.0771439588819653e-11,5.5537173951594174e-12,9.411793182646496e-12,1.6535609968405902e-11,6.417036868625929e-12,7.994723540164683e-12,0.19999999997643492,8.068157197486717e-12,8.007353436887926e-12,0.19999999980664718,5.5784409033850055e-12,5.5784409033850055e-12,8.603080112641463e-12,3.138829162606465e-11,5.5784409033850055e-12,2.1613785938435798e-11,2.0886813957788435e-11,5.5784409033850055e-12,0.19999999997005466,2.981438684075688e-11,5.5784409033850055e-12,5.5784409033850055e-12,5.5784409033850055e-12,0.1999999999539243,1.201838918430082e-11,1.2883311152339057e-11,7.193506616296827e-12,1.4476670518001955e-11
