Date,Universe,Ticker,alpha,l1_ratio
2010-12-31,A,VNQ,100.0,0.2
2010-12-31,A,VTV,100.0,0.2
2010-12-31,A,VUG,0.04893900918477494,0.2
2011-01-31,A,DIA,100.0,0.2
2011-01-31,A,IJR,0.018873918221350976,0.2
2011-01-31,A,MDY,0.011721022975334805,0.8
2011-01-31,A,ONEQ,0.011721022975334805,0.8
2011-01-31,A,QQQ,0.04893900918477494,0.2
2011-01-31,A,RSP,0.011721022975334805,0.8
2011-01-31,A,SPY,0.0028072162039411755,0.95
2011-01-31,A,VNQ,100.0,0.2
2011-01-31,A,VTV,100.0,0.2
2011-01-31,A,VUG,0.018873918221350976,0.5
2011-02-28,A,DIA,100.0,0.2
2011-02-28,A,IJR,0.018873918221350976,0.2
2011-02-28,A,MDY,0.011721022975334805,0.8
2011-02-28,A,ONEQ,0.011721022975334805,0.8
2011-02-28,A,QQQ,0.011721022975334805,0.8
2011-02-28,A,RSP,0.018873918221350976,0.2
2011-02-28,A,SPY,0.004520353656360241,0.8
2011-02-28,A,VNQ,100.0,0.2
2011-02-28,A,VTV,0.004520353656360241,0.95
2011-02-28,A,VUG,0.011721022975334805,0.8
2011-03-31,A,DIA,100.0,0.2
2011-03-31,A,IJR,0.018873918221350976,0.2
2011-03-31,A,MDY,0.04893900918477494,0.2
2011-03-31,A,ONEQ,0.007278953843983146,0.95
2011-03-31,A,QQQ,0.011721022975334805,0.8
2011-03-31,A,RSP,100.0,0.2
2011-03-31,A,SPY,0.011721022975334805,0.8
2011-03-31,A,VNQ,100.0,0.2
2011-03-31,A,VTV,100.0,0.2
2011-03-31,A,VUG,0.011721022975334805,0.8
2011-04-30,A,DIA,100.0,0.2
2011-04-30,A,IJR,100.0,0.2
2011-04-30,A,MDY,100.0,0.2
2011-04-30,A,ONEQ,100.0,0.2
2011-04-30,A,QQQ,100.0,0.2
2011-04-30,A,RSP,100.0,0.2
2011-04-30,A,SPY,100.0,0.2
2011-04-30,A,VNQ,100.0,0.2
2011-04-30,A,VTV,100.0,0.2
2011-04-30,A,VUG,100.0,0.2
2011-05-31,A,DIA,100.0,0.2
2011-05-31,A,IJR,100.0,0.2
2011-05-31,A,MDY,100.0,0.2
2011-05-31,A,ONEQ,100.0,0.2
2011-05-31,A,QQQ,100.0,0.2
2011-05-31,A,RSP,100.0,0.2
2011-05-31,A,SPY,100.0,0.2
2011-05-31,A,VNQ,100.0,0.2
2011-05-31,A,VTV,100.0,0.2
2011-05-31,A,VUG,100.0,0.2
2011-06-30,A,DIA,100.0,0.2
2011-06-30,A,IJR,100.0,0.2
2011-06-30,A,MDY,100.0,0.2
2011-06-30,A,ONEQ,100.0,0.2
2011-06-30,A,QQQ,100.0,0.2
2011-06-30,A,RSP,100.0,0.2
2011-06-30,A,SPY,100.0,0.2
2011-06-30,A,VNQ,100.0,0.2
2011-06-30,A,VTV,100.0,0.2
2011-06-30,A,VUG,100.0,0.2
2011-07-31,A,DIA,100.0,0.2
2011-07-31,A,IJR,100.0,0.2
2011-07-31,A,MDY,100.0,0.2
2011-07-31,A,ONEQ,100.0,0.2
2011-07-31,A,QQQ,100.0,0.2
2011-07-31,A,RSP,100.0,0.2
2011-07-31,A,SPY,100.0,0.2
2011-07-31,A,VNQ,100.0,0.2
2011-07-31,A,VTV,100.0,0.2
2011-07-31,A,VUG,100.0,0.2
2011-08-31,A,DIA,100.0,0.2
2011-08-31,A,IJR,100.0,0.2
2011-08-31,A,MDY,100.0,0.2
2011-08-31,A,ONEQ,100.0,0.2
2011-08-31,A,QQQ,100.0,0.2
2011-08-31,A,RSP,100.0,0.2
2011-08-31,A,SPY,100.0,0.2
2011-08-31,A,VNQ,100.0,0.2
2011-08-31,A,VTV,100.0,0.2
2011-08-31,A,VUG,100.0,0.2
2011-09-30,A,DIA,100.0,0.2
2011-09-30,A,IJR,100.0,0.2
2011-09-30,A,MDY,100.0,0.2
2011-09-30,A,ONEQ,100.0,0.2
2011-09-30,A,QQQ,100.0,0.2
2011-09-30,A,RSP,100.0,0.2
2011-09-30,A,SPY,100.0,0.2
2011-09-30,A,VNQ,100.0,0.2
2011-09-30,A,VTV,100.0,0.2
2011-09-30,A,VUG,100.0,0.2
2011-10-31,A,DIA,100.0,0.2
2011-10-31,A,IJR,100.0,0.2
2011-10-31,A,MDY,100.0,0.2
2011-10-31,A,ONEQ,100.0,0.2
2011-10-31,A,QQQ,100.0,0.2
2011-10-31,A,RSP,100.0,0.2
2011-10-31,A,SPY,100.0,0.2
2011-10-31,A,VNQ,100.0,0.2
2011-10-31,A,VTV,100.0,0.2
2011-10-31,A,VUG,100.0,0.2
2011-11-30,A,DIA,100.0,0.2
2011-11-30,A,IJR,100.0,0.2
2011-11-30,A,MDY,100.0,0.2
2011-11-30,A,ONEQ,100.0,0.2
2011-11-30,A,QQQ,100.0,0.2
2011-11-30,A,RSP,100.0,0.2
2011-11-30,A,SPY,100.0,0.2
2011-11-30,A,VNQ,100.0,0.2
2011-11-30,A,VTV,100.0,0.2
2011-11-30,A,VUG,100.0,0.2
2011-12-31,A,DIA,100.0,0.2
2011-12-31,A,IJR,100.0,0.2
2011-12-31,A,MDY,100.0,0.2
2011-12-31,A,ONEQ,100.0,0.2
2011-12-31,A,QQQ,100.0,0.2
2011-12-31,A,RSP,100.0,0.2
2011-12-31,A,SPY,100.0,0.2
2011-12-31,A,VNQ,100.0,0.2
2011-12-31,A,VTV,100.0,0.2
2011-12-31,A,VUG,100.0,0.2
2012-01-31,A,DIA,100.0,0.2
2012-01-31,A,IJR,100.0,0.2
2012-01-31,A,MDY,0.04893900918477494,0.2
2012-01-31,A,ONEQ,100.0,0.2
2012-01-31,A,QQQ,100.0,0.2
2012-01-31,A,RSP,100.0,0.2
2012-01-31,A,SPY,100.0,0.2
2012-01-31,A,VNQ,100.0,0.2
2012-01-31,A,VTV,100.0,0.2
2012-01-31,A,VUG,0.04893900918477494,0.2
2012-02-29,A,DIA,100.0,0.2
2012-02-29,A,IJR,100.0,0.2
2012-02-29,A,MDY,0.04893900918477494,0.2
2012-02-29,A,ONEQ,100.0,0.2
2012-02-29,A,QQQ,100.0,0.2
2012-02-29,A,RSP,100.0,0.2
2012-02-29,A,SPY,100.0,0.2
2012-02-29,A,VNQ,100.0,0.2
2012-02-29,A,VTV,100.0,0.2
2012-02-29,A,VUG,100.0,0.2
2012-03-31,A,DIA,100.0,0.2
2012-03-31,A,IJR,100.0,0.2
2012-03-31,A,MDY,0.04893900918477494,0.2
2012-03-31,A,ONEQ,100.0,0.2
2012-03-31,A,QQQ,100.0,0.2
2012-03-31,A,RSP,100.0,0.2
2012-03-31,A,SPY,100.0,0.2
2012-03-31,A,VNQ,100.0,0.2
2012-03-31,A,VTV,100.0,0.2
2012-03-31,A,VUG,100.0,0.2
2012-04-30,A,DIA,100.0,0.2
2012-04-30,A,IJR,100.0,0.2
2012-04-30,A,MDY,0.04893900918477494,0.2
2012-04-30,A,ONEQ,100.0,0.2
2012-04-30,A,QQQ,100.0,0.2
2012-04-30,A,RSP,100.0,0.2
2012-04-30,A,SPY,100.0,0.2
2012-04-30,A,VNQ,100.0,0.2
2012-04-30,A,VTV,100.0,0.2
2012-04-30,A,VUG,100.0,0.2
2012-05-31,A,DIA,100.0,0.2
2012-05-31,A,IJR,100.0,0.2
2012-05-31,A,MDY,0.04893900918477494,0.2
2012-05-31,A,ONEQ,100.0,0.2
2012-05-31,A,QQQ,100.0,0.2
2012-05-31,A,RSP,100.0,0.2
2012-05-31,A,SPY,100.0,0.2
2012-05-31,A,VNQ,100.0,0.2
2012-05-31,A,VTV,100.0,0.2
2012-05-31,A,VUG,100.0,0.2
2012-06-30,A,DIA,100.0,0.2
2012-06-30,A,IJR,0.011721022975334805,0.95
2012-06-30,A,MDY,0.018873918221350976,0.5
2012-06-30,A,ONEQ,0.011721022975334805,0.8
2012-06-30,A,QQQ,0.011721022975334805,0.8
2012-06-30,A,RSP,100.0,0.2
2012-06-30,A,SPY,100.0,0.2
2012-06-30,A,VNQ,100.0,0.2
2012-06-30,A,VTV,100.0,0.2
