Date,Ret_gross,Cost,Ret_net,Universe,Model,Calib
2008-09-30,,,,A,LGBM_longonly,isotonic
2008-10-31,,,,A,LGBM_longonly,isotonic
2008-11-30,,,,A,LGBM_longonly,isotonic
2008-12-31,,,,A,LGBM_longonly,isotonic
2009-01-31,,,,A,LGBM_longonly,isotonic
2009-02-28,,,,A,LGBM_longonly,isotonic
2009-03-31,,,,A,LGBM_longonly,isotonic
2009-04-30,,,,A,LGBM_longonly,isotonic
2009-05-31,,,,A,LGBM_longonly,isotonic
2009-06-30,,,,A,LGBM_longonly,isotonic
2009-07-31,,,,A,LGBM_longonly,isotonic
2009-08-31,,,,A,LGBM_longonly,isotonic
2009-09-30,-0.04087731481698506,-0.00025,-0.04112731481698506,A,LGBM_longonly,isotonic
2009-10-31,0.052590183183349376,-0.00019999999997901357,0.05239018318337036,A,LGBM_longonly,isotonic
2009-11-30,0.03181685646313155,-0.0003000000000157272,0.031516856463115826,A,LGBM_longonly,isotonic
2009-12-31,-0.043841330423480464,-0.0003999999999308431,-0.04424133042341131,A,LGBM_longonly,isotonic
2010-01-31,0.04312176044422155,-0.00020000000014318116,0.04292176044407837,A,LGBM_longonly,isotonic
2010-02-28,0.06509725772431199,-0.00010000000017699337,0.06499725772413499,A,LGBM_longonly,isotonic
2010-03-31,0.017866548532481277,-0.00030000000000007077,0.017566548532481206,A,LGBM_longonly,isotonic
2010-04-30,-0.024975580497111956,-0.00010000000000421862,-0.025075580497116175,A,LGBM_longonly,isotonic
2010-05-31,-0.017337859295353496,-0.0001999999999768835,-0.017537859295330378,A,LGBM_longonly,isotonic
2010-06-30,0.033647424675061495,-0.00010000000000062318,0.033547424675060875,A,LGBM_longonly,isotonic
2010-07-31,-0.01636351506002432,-0.00010000000002425701,-0.01646351506004858,A,LGBM_longonly,isotonic
2010-08-31,0.033555897031224614,-0.00019999999996605684,0.03335589703125856,A,LGBM_longonly,isotonic
2010-09-30,0.013600576313497295,-0.00020000010569321396,0.013400576207804082,A,LGBM_longonly,isotonic
2010-10-31,0.010866714425864652,-0.00039999989428516036,0.010466714531579492,A,LGBM_longonly,isotonic
2010-11-30,0.0694722231753415,-0.00020000000002592374,0.06927222317531558,A,LGBM_longonly,isotonic
2010-12-31,0.025628964939204673,-0.00019999999761448591,0.025428964941590186,A,LGBM_longonly,isotonic
2011-01-31,0.040856047571599684,-0.00019999999768360624,0.040656047573916075,A,LGBM_longonly,isotonic
2011-02-28,-0.0033022896177016554,-0.0003000000000124044,-0.00360228961771406,A,LGBM_longonly,isotonic
2011-03-31,0.02576791027793879,-9.999999999577397e-05,0.025667910277943018,A,LGBM_longonly,isotonic
2011-04-30,-0.00798681273724836,-0.00019999999999732187,-0.008186812737245683,A,LGBM_longonly,isotonic
